,precision,recall,f1,accuracy
FPE_LogisticRegression+TFIDF+SMOTE,0.836355914206838,0.8041633060644467,0.8178341384863124,0.861878453038674
FPE_SVM+TFIDF+SMOTE,0.8420062695924765,0.8142643161654568,0.8263580765079745,0.8674033149171271
FPE_MLP+TFIDF+SMOTE,0.853128421394104,0.834466336367477,0.8430120244431303,0.8784530386740331
FPE_LSTM+SMOTE,0.5709292700125701,0.5888543226946268,0.555675569520817,0.585635359116022
FPE_BERT+ClassWeights,0.3453038674033149,0.5,0.4084967320261438,0.6906077348066298
Vigenere_LogisticRegression+TFIDF+SMOTE,0.7974137931034483,0.7385067404078811,0.7588274483677548,0.8259668508287292
Vigenere_SVM+TFIDF+SMOTE,0.7634540897698793,0.7220493912509122,0.7372677504976775,0.8066298342541437
Vigenere_MLP+TFIDF+SMOTE,0.7395586527293845,0.6980450896800707,0.7125182863113897,0.7900552486187845
Vigenere_LSTM+SMOTE,0.5936746344292823,0.6178515189922034,0.5701678380026315,0.5911602209944752
Vigenere_BERT+ClassWeights,0.6520961145194274,0.56375,0.549878003003003,0.7071823204419889
Substitution_LogisticRegression+TFIDF+SMOTE,0.836355914206838,0.8041633060644467,0.8178341384863124,0.861878453038674
Substitution_SVM+TFIDF+SMOTE,0.8468149646107179,0.8161654568498675,0.8293737150880008,0.8701657458563536
Substitution_MLP+TFIDF+SMOTE,0.853128421394104,0.834466336367477,0.8430120244431303,0.8784530386740331
Substitution_LSTM+SMOTE,0.5765123456790123,0.5952106617505857,0.5656347492200624,0.5994475138121547
Substitution_BERT+ClassWeights,0.6644246803779877,0.6584642857142857,0.6610949017896908,0.7154696132596685
DP_LogisticRegression+TFIDF+SMOTE,0.8252459151335556,0.8035103890617199,0.8131946649730073,0.856353591160221
DP_SVM+TFIDF+SMOTE,0.8326953944931472,0.8104620347966356,0.8203794855509685,0.861878453038674
DP_MLP+TFIDF+SMOTE,0.8503676470588235,0.8294158313169719,0.8388963061860257,0.8756906077348067
DP_LSTM+SMOTE,0.5968951499859826,0.6061950301494028,0.5997441403572897,0.6657458563535912
DP_BERT+ClassWeights,0.8589105339105338,0.8553214285714286,0.8570761997056817,0.8784530386740331
WLS_LogisticRegression+TFIDF+SMOTE,0.8248319493871095,0.7839612858624265,0.8003676470588235,0.850828729281768
WLS_SVM+TFIDF+SMOTE,0.8150019432568986,0.7801590044936053,0.79449332954868,0.8453038674033149
WLS_MLP+TFIDF+SMOTE,0.836355914206838,0.8041633060644467,0.8178341384863124,0.861878453038674
WLS_LSTM+SMOTE,0.5555148517874042,0.5698429158505204,0.532858018517921,0.5580110497237569
WLS_BERT+ClassWeights,0.8647435897435898,0.8454642857142858,0.8540590067802822,0.8784530386740331
DP_Embedding_LogisticRegression+TFIDF+SMOTE,0.8071857321760159,0.7732073587586896,0.7871538056039902,0.8397790055248618
DP_Embedding_SVM+TFIDF+SMOTE,0.8373009289980093,0.8123631754810463,0.8233601210926219,0.8646408839779005
DP_Embedding_MLP+TFIDF+SMOTE,0.8550438325719225,0.8313169720013827,0.8419339472848524,0.8784530386740331
DP_Embedding_LSTM+SMOTE,0.5379373567608862,0.5476821446403195,0.5087332758565635,0.5303867403314917
DP_Embedding_BERT+ClassWeights,0.8948997641509434,0.8827142857142857,0.8884215106791893,0.9060773480662984
DP_Dropout_LogisticRegression+TFIDF+SMOTE,0.8089275515135539,0.7700579943925951,0.7855800653594771,0.8397790055248618
DP_Dropout_SVM+TFIDF+SMOTE,0.7944122298365841,0.7788531704881515,0.7859254878769959,0.8342541436464088
DP_Dropout_MLP+TFIDF+SMOTE,0.7902979066022544,0.7769520298037409,0.7830908715853168,0.8314917127071824
DP_Dropout_LSTM+SMOTE,0.5641693606603685,0.5785228712985367,0.5148511765622565,0.5248618784530387
DP_Dropout_BERT+ClassWeights,0.8833109719737626,0.8673214285714286,0.8746354622338874,0.8950276243093923
DP_Synonym_LogisticRegression+TFIDF+SMOTE,0.8147810218978102,0.791508238276299,0.8017307481651879,0.8480662983425414
DP_Synonym_SVM+TFIDF+SMOTE,0.826731078904992,0.8117102584783193,0.8186497450959205,0.8591160220994475
DP_Synonym_MLP+TFIDF+SMOTE,0.8207924836601307,0.8016092483773092,0.810255649507986,0.8535911602209945
DP_Synonym_LSTM+SMOTE,0.5634066879763954,0.5792333986250335,0.5280312907431551,0.5441988950276243
DP_Synonym_BERT+ClassWeights,0.8710104850789262,0.845,0.856193934018828,0.8812154696132597
